record_id,master_asset_id,parent_record_id,entity_ids,content_type,working_title_or_beat,status,human_source_or_contribution,ai_tool_or_model,source_asset_refs,rights_record_id,rights_status,disclosure_status,claim_ids,intervention_id,changeset_id,publication_state,platform,publication_url,published_at,evidence_refs,notes
TR-05,VOID-TRIAL-05,,MC-001|VOID-001,TRIAL,Heart symbol,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-06,VOID-TRIAL-06,,MC-001|VOID-001,TRIAL,Surrender beat,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-07,VOID-TRIAL-07,,MC-001|VOID-001,TRIAL,Aftermath,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-08,VOID-TRIAL-08,,MC-001|VOID-001,TRIAL,Bible and cup,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-09,VOID-TRIAL-09,,MC-001|VOID-001,TRIAL,Faith beat,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-10,VOID-TRIAL-10,,MC-001|VOID-001,TRIAL,Golden brain,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-11,VOID-TRIAL-11,,MC-001|VOID-001,TRIAL,Elixir clue,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-12,VOID-TRIAL-12,,MC-001|VOID-001,TRIAL,Throne composition,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-13,VOID-TRIAL-13,,MC-001|VOID-001,TRIAL,Mansion transition,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-14,VOID-TRIAL-14,,MC-001|VOID-001,TRIAL,Briefcase prop,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-15,VOID-TRIAL-15,,MC-001|VOID-001,TRIAL,NUX appearance,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
TR-16,VOID-TRIAL-16,,MC-001|VOID-001,TRIAL,Episode ending,proposed,Assistant-proposed test concept based on creator-provided story elements,ChatGPT-assisted concept; no finished audiovisual asset,entities/void-mode/season-1-content-architecture-v0.1.md,IP-VOID-SYSTEM,not_assessed,not_assessed,not_assessed,,,not_published,,,,,Proposed experiment only; define actual materials and measurement window before production.
